outcome,player_name,x,y,distance,angle,pressure,shot_technique_89.0,shot_technique_90.0,shot_technique_91.0,shot_technique_92.0,shot_technique_93.0,shot_technique_94.0,shot_technique_95.0,play_pattern_1,play_pattern_2,play_pattern_3,play_pattern_4,play_pattern_5,play_pattern_6,play_pattern_7,play_pattern_8,play_pattern_9
0,Francisco Román Alarcón Suárez,103.6,40.4,-0.29710928166198186,-1.395249045647528,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,Marcelo Vieira da Silva Júnior,102.2,29.5,0.1994385039918382,0.11027271302421562,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,Francisco Román Alarcón Suárez,102.3,49.2,0.11577630902606492,-0.04842877071573672,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,98.3,52.5,0.709425055889157,0.07967000673286155,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,Moriba Kourouma Kourouma,101.3,29.1,0.313482622061561,0.09485273854053163,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,Martin Braithwaite Christensen,109.4,31.2,-0.6033483323827527,0.5837148423302089,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Moriba Kourouma Kourouma,108.1,39.1,-0.8180824115080969,-1.2439727706616177,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,Marc-André ter Stegen,102.0,41.1,-0.10732384833136342,-1.2867535151736895,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,Jordi Alba Ramos,100.6,33.2,0.18674668915144488,-0.4694098349656893,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,Philippe Coutinho Correia,108.3,46.6,-0.6433893245115972,0.05300583633852644,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,Jorge De Frutos Sebastián,109.3,39.0,-0.9564399087704254,-1.1915727903581397,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,Lionel Andrés Messi Cuccittini,103.8,32.1,-0.10848725599397628,-0.12426952277222122,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,Martin Braithwaite Christensen,105.0,25.1,0.2549576909203245,0.8476998465037316,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,Daniel Gómez Alcón,111.6,49.1,-0.7656133936406555,0.9759507278556371,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,Antoine Griezmann,105.4,52.6,0.038525077207665764,0.640320204821707,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,Antoine Griezmann,111.7,45.7,-1.0354283536532014,0.3140177224515841,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,Clément Lenglet,114.8,32.4,-1.135648711118306,1.4062918593629352,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,Jorge Andújar Moreno,100.2,57.3,0.855127608889179,0.658418480537498,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,Lionel Andrés Messi Cuccittini,107.8,38.6,-0.7777552456247174,-1.1292073017829993,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,Daniel Gómez Alcón,94.7,45.3,0.8033929417655234,-0.856129545008886,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,101.0,50.6,0.3265308237887116,0.03902778124021691,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,92.5,49.6,1.1853986757691128,-0.47316722554630647,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,Jordi Alba Ramos,101.4,29.1,0.30342229336683596,0.10176775663305973,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,Antoine Griezmann,108.3,46.6,-0.6433893245115972,0.05300583633852644,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,90.6,38.4,1.2222238680385624,-1.3064902493434694,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,Jordi Alba Ramos,57.9,20.6,5.3724250443121795,-0.5710699109882155,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,115.1,29.3,-0.8373537301708712,1.9113532997083218,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,Philippe Coutinho Correia,106.6,24.8,0.15249168685022857,1.0436697000107713,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,100.1,33.9,0.21665884983999048,-0.5869193453026108,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,Philippe Coutinho Correia,96.7,32.2,0.6544429861809214,-0.511139848068329,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,Antoine Griezmann,88.6,44.5,1.4875884263712664,-1.046055873265471,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,108.1,30.5,-0.43436792255384676,0.526982346938313,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,91.7,41.0,1.091034417599945,-1.362876097501602,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,116.5,29.1,-0.874695311285186,2.2628604681843116,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,Martin Braithwaite Christensen,112.6,42.6,-1.2947320490194976,-0.46720666173783637,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,Lionel Andrés Messi Cuccittini,107.1,30.2,-0.3209467579717986,0.45581175214429215,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,115.1,30.2,-0.931957227364199,1.810088714066453,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,José Luis Morales Nogales,97.6,49.2,0.6130507397272187,-0.31377157325973226,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Francisco Javier Hidalgo Gómez,99.6,51.1,0.49753236448291027,0.007741752563918468,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,Philippe Coutinho Correia,96.5,32.0,0.6839781793213308,-0.4960944394223172,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,Anssumane Fati,107.2,32.3,-0.46809194972782964,0.1357814288739025,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Sergi Roberto Carnicer,106.5,41.3,-0.6283248736154708,-1.1832452946618195,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,Anssumane Fati,109.0,32.7,-0.6703386640953315,0.26702521861028955,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,114.0,33.9,-1.2116708244120542,0.8820655703263552,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Jordi Alba Ramos,118.5,28.9,-0.9035063829096248,2.785003166833009,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,Lionel Andrés Messi Cuccittini,108.0,39.8,-0.8101957921362313,-1.4181036458170682,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,Francis Joseph Coquelin,102.8,45.5,-0.10448267089893329,-0.55123925073872,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,Philippe Coutinho Correia,112.4,35.4,-1.1735193507158956,0.1438124502459668,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,Gerard Moreno Balaguero,104.3,34.8,-0.2815105820274126,-0.5206100775087196,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,108.1,33.3,-0.6173653987636023,0.05058528824859571,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,Antoine Griezmann,105.9,33.5,-0.3995084622953722,-0.18869947919092062,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,Vicente Iborra De La Fuente,110.9,32.1,-0.8044790994808979,0.6489820779601504,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,103.9,54.9,0.3474925085513057,0.7430643107308289,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,Lionel Andrés Messi Cuccittini,111.8,39.3,-1.249711801748967,-1.2153379400533646,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,Mario Gaspar Pérez Martínez,107.2,58.8,0.44153597943100176,1.4130764104493816,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Francisco António Machado Mota de Castro Trincão,102.8,34.8,-0.11486512869177656,-0.5983173547604945,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,Francisco António Machado Mota de Castro Trincão,104.4,51.9,0.07761064200448765,0.46167913423488494,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,104.4,45.0,-0.2998103692720591,-0.5492378103204476,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Takefusa Kubo,107.6,56.5,0.1963918018649885,1.2747942910323085,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Miralem Pjanić,97.8,19.8,1.288778345436173,0.7180657551838473,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,115.0,29.3,-0.8324612686281184,1.8885639510590873,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Antoine Griezmann,102.0,51.7,0.2929144629546381,0.2388234902696573,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,Anssumane Fati,106.3,34.2,-0.47512693477612405,-0.281888273075816,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,José Manuel Fontán Mondragón,100.9,20.7,0.9553528190761499,0.8730188331496,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,Iago Aspas Juncal,99.0,56.1,0.8747419377872578,0.4688634207274838,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,Lucas René Olaza Catrofe,102.4,33.5,-0.02245250088495383,-0.4201318311170934,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,Philippe Coutinho Correia,99.9,42.4,0.15010398889770857,-1.1156311747773215,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,Philippe Coutinho Correia,103.8,39.5,-0.3200838195077715,-1.376098683649587,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,94.4,25.7,1.208205120952413,0.04060543639519731,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,Manuel Agudo Durán,105.4,18.7,0.8003936942583182,1.403802094623058,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Manuel Agudo Durán,114.1,26.1,-0.44912223147589103,1.9943221578004502,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Miguel Baeza Pérez,110.6,37.2,-1.0657953415744472,-0.6104112406167165,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Manuel Agudo Durán,98.8,37.5,0.2787621955187929,-1.1199471221809347,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,Manuel Agudo Durán,112.6,15.7,0.7512586760868467,2.3075516868917934,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,Miguel Baeza Pérez,106.6,28.1,-0.12041704390391222,0.6822921065244623,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,Néstor Alejandro Araújo Razo,115.7,29.7,-0.9080918620661855,2.011886511875395,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,112.8,28.1,-0.5879857993025497,1.5718678869311413,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,Sergi Roberto Carnicer,109.7,48.2,-0.6745811987030033,0.5229952721659827,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,Federico Santiago Valverde Dipetta,109.9,49.3,-0.6088555463103325,0.7355942039353381,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,Vinícius José Paixão de Oliveira Júnior,107.6,37.9,-0.7432053809441272,-0.970803772960258,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
